spec,target,thresh_source,pct,mode,n_trades,mean_bps,t_stat,win_rate,positive_assets,label_thresh
macro_60_240,raw_quantile,train,90,short_only,2276,0.04249138385057449,0.13215603300209094,0.4912126537785589,3,"(-0.0005789999850094318, 0.0006320002139545977)"
macro_60_240,raw_quantile,train,90,long_short,3848,-0.06290527433156967,-0.20008563407398963,0.4974012474012474,3,"(-0.0005789999850094318, 0.0006320002139545977)"
macro_60_240,raw_quantile,train,95,long_only,779,0.940808892250061,1.123631187376892,0.5327342747111682,5,"(-0.0005789999850094318, 0.0006320002139545977)"
macro_60_240,raw_quantile,train,95,short_only,1047,-0.09042014181613922,-0.20856795544459006,0.4708691499522445,2,"(-0.0005789999850094318, 0.0006320002139545977)"
macro_60_240,raw_quantile,train,95,long_short,1826,0.34951817989349365,0.8031014376816417,0.49726177437020813,3,"(-0.0005789999850094318, 0.0006320002139545977)"
macro_60_240,raw_quantile,train,97,long_only,443,0.17711079120635986,0.15165037032980022,0.5304740406320542,4,"(-0.0005789999850094318, 0.0006320002139545977)"
macro_60_240,raw_quantile,train,97,short_only,596,-0.6473656892776489,-1.2055332535117842,0.4546979865771812,3,"(-0.0005789999850094318, 0.0006320002139545977)"
macro_60_240,raw_quantile,train,97,long_short,1039,-0.29583239555358887,-0.505408064890889,0.4870067372473532,4,"(-0.0005789999850094318, 0.0006320002139545977)"
macro_60_240,raw_quantile,val,90,long_only,1549,-0.26591992378234863,-0.4297765136297295,0.5048418334409296,1,"(-0.0005789999850094318, 0.0006320002139545977)"
macro_60_240,raw_quantile,val,90,short_only,2236,0.06321123987436295,0.1963580909988779,0.4915026833631485,4,"(-0.0005789999850094318, 0.0006320002139545977)"
macro_60_240,raw_quantile,val,90,long_short,3785,-0.07148466259241104,-0.22575976182029484,0.49696169088507264,4,"(-0.0005789999850094318, 0.0006320002139545977)"
macro_60_240,raw_quantile,val,95,long_only,768,0.9050130844116211,1.0684902971156542,0.5299479166666666,5,"(-0.0005789999850094318, 0.0006320002139545977)"
macro_60_240,raw_quantile,val,95,short_only,1032,-0.032722797244787216,-0.0746442484499613,0.4728682170542636,2,"(-0.0005789999850094318, 0.0006320002139545977)"
macro_60_240,raw_quantile,val,95,long_short,1800,0.36737778782844543,0.8345864793450259,0.49722222222222223,4,"(-0.0005789999850094318, 0.0006320002139545977)"
macro_60_240,raw_quantile,val,97,long_only,416,-0.04524032771587372,-0.03700393952300226,0.5216346153846154,4,"(-0.0005789999850094318, 0.0006320002139545977)"
macro_60_240,raw_quantile,val,97,short_only,547,-0.739561140537262,-1.3100762218447286,0.4515539305301645,3,"(-0.0005789999850094318, 0.0006320002139545977)"
macro_60_240,raw_quantile,val,97,long_short,963,-0.43962615728378296,-0.711851388644363,0.4818276220145379,3,"(-0.0005789999850094318, 0.0006320002139545977)"
macro_60_240,vol_std,train,90,long_only,1868,-0.4763757884502411,-0.972530191679553,0.5069593147751607,1,"(-0.5, 0.5)"
macro_60_240,vol_std,train,90,short_only,951,-0.46209239959716797,-1.1272934187448391,0.45636172450052576,1,"(-0.5, 0.5)"
macro_60_240,vol_std,train,90,long_short,2819,-0.4715571701526642,-1.336730775997646,0.489890031926215,1,"(-0.5, 0.5)"
macro_60_240,vol_std,train,95,long_only,950,-0.20162099599838257,-0.3103184713953473,0.5031578947368421,0,"(-0.5, 0.5)"
macro_60_240,vol_std,train,95,short_only,572,-0.5705768465995789,-1.3444332256614935,0.44405594405594406,3,"(-0.5, 0.5)"
macro_60_240,vol_std,train,95,long_short,1522,-0.3402825593948364,-0.7810048750080861,0.480946123521682,1,"(-0.5, 0.5)"
macro_60_240,vol_std,train,97,long_only,522,-0.4016856551170349,-0.4627474322790379,0.5114942528735632,1,"(-0.5, 0.5)"
macro_60_240,vol_std,train,97,short_only,404,-0.34096530079841614,-0.6936554985673002,0.44554455445544555,2,"(-0.5, 0.5)"
macro_60_240,vol_std,train,97,long_short,926,-0.3751943111419678,-0.7025922860676661,0.48272138228941686,2,"(-0.5, 0.5)"
macro_60_240,vol_std,val,90,long_only,1523,-0.281240850687027,-0.5619204822135617,0.504924491135916,3,"(-0.5, 0.5)"
macro_60_240,vol_std,val,90,short_only,787,-0.194243922829628,-0.47598133218388955,0.45616264294790343,4,"(-0.5, 0.5)"
macro_60_240,vol_std,val,90,long_short,2310,-0.25160160660743713,-0.7027558968753795,0.4883116883116883,1,"(-0.5, 0.5)"
macro_60_240,vol_std,val,95,long_only,666,-0.23339328169822693,-0.3151211237731023,0.509009009009009,2,"(-0.5, 0.5)"
macro_60_240,vol_std,val,95,short_only,473,-0.61004239320755,-1.3486217339390285,0.4397463002114165,2,"(-0.5, 0.5)"
